"","PointID","Round","n","count","percent_grazed"
"355","BRBE101_16","2",67,2,2.98507462686567
"356","BRBE101_17","2",64,3,4.6875
"357","BRBE101_18","2",78,0,0
"358","BRBE102_15","2",82,21,25.609756097561
"359","BRBE102_16","2",84,7,8.33333333333333
"360","BRBE102_17","2",66,1,1.51515151515152
"361","BRBE102_18","2",85,0,0
"362","BRBE103_15","2",57,8,14.0350877192982
"363","BRBE103_16","2",49,4,8.16326530612245
"364","BRBE103_17","2",58,14,24.1379310344828
"365","BRBE103_18","2",61,0,0
"366","BRBE104_15","2",59,18,30.5084745762712
"367","BRBE104_16","2",56,2,3.57142857142857
"368","BRBE104_17","2",58,8,13.7931034482759
"369","BRBE104_18","2",64,0,0
"370","BRBE105_15","2",58,12,20.6896551724138
"371","BRBE105_16","2",48,4,8.33333333333333
"372","BRBE105_17","2",58,9,15.5172413793103
"373","BRBE105_18","2",60,2,3.33333333333333
"374","BRBE106_15","2",51,10,19.6078431372549
"375","BRBE106_16","2",54,0,0
"376","BRBE106_17","2",73,0,0
"377","BRBE106_18","2",79,0,0
"378","BRBE107_15","2",52,11,21.1538461538462
"379","BRBE107_16","2",68,9,13.2352941176471
"380","BRBE107_17","2",65,3,4.61538461538461
"381","BRBE107_18","2",69,0,0
"382","BRBE108_15","2",79,22,27.8481012658228
"383","BRBE108_16","2",81,5,6.17283950617284
"384","BRBE108_17","2",73,1,1.36986301369863
"385","BRBE108_18","2",79,1,1.26582278481013
"386","BRBE109_15","2",51,2,3.92156862745098
"387","BRBE109_16","2",50,11,22
"388","BRBE109_17","2",54,3,5.55555555555556
"389","BRBE109_18","2",49,1,2.04081632653061
"390","BRBE110_15","2",79,5,6.32911392405063
"391","BRBE110_16","2",81,7,8.64197530864197
"392","BRBE110_17","2",85,11,12.9411764705882
"393","BRBE110_18","2",84,1,1.19047619047619
"394","BRBE111_15","2",68,38,55.8823529411765
"395","BRBE111_16","2",58,2,3.44827586206897
"396","BRBE111_17","2",60,0,0
"397","BRBE111_18","2",69,0,0
"398","BRBE112_15","2",52,14,26.9230769230769
"399","BRBE112_16","2",64,12,18.75
"400","BRBE112_17","2",71,6,8.45070422535211
"401","BRBE112_18","2",74,0,0
"402","BRBE113_15","2",52,15,28.8461538461538
"403","BRBE113_16","2",66,1,1.51515151515152
"404","BRBE113_18","2",79,2,2.53164556962025
"405","BRBE114_15","2",74,26,35.1351351351351
"406","BRBE114_16","2",77,4,5.19480519480519
"407","BRBE114_17","2",71,4,5.63380281690141
"408","BRBE114_18","2",83,0,0
"409","BRBE115_15","2",38,6,15.7894736842105
"410","BRBE115_16","2",38,9,23.6842105263158
"411","BRBE115_17","2",42,9,21.4285714285714
"412","BRBE115_18","2",42,0,0
"413","BRBE116_15","2",81,12,14.8148148148148
"414","BRBE116_16","2",77,2,2.5974025974026
"415","BRBE116_17","2",81,13,16.0493827160494
"416","BRBE116_18","2",84,1,1.19047619047619
"417","BRBE117_15","2",71,7,9.85915492957746
"418","BRBE117_16","2",72,9,12.5
"419","BRBE117_17","2",66,6,9.09090909090909
"420","BRBE117_18","2",71,0,0
"421","BRBE118_15","2",55,16,29.0909090909091
"422","BRBE118_16","2",71,2,2.8169014084507
"423","BRBE118_17","2",70,3,4.28571428571429
"424","BRBE118_18","2",75,1,1.33333333333333
"425","BRBE119_15","2",58,18,31.0344827586207
"426","BRBE119_16","2",69,3,4.34782608695652
"427","BRBE119_17","2",74,5,6.75675675675676
"428","BRBE119_18","2",63,0,0
"429","BRBE125_17","2",45,5,11.1111111111111
"430","BRBE126_15","2",25,1,4
"431","BRBE127_15","2",24,0,0
"432","BRBE128_15","2",40,8,20
"433","BRBE128_16","2",51,8,15.6862745098039
"434","BRBE129_15","2",32,9,28.125
"435","BRBE130_15","2",41,0,0
"436","BRBE131_17","2",35,20,57.1428571428571
"437","BRBE133_15","2",44,2,4.54545454545455
"438","BRBE134_15","2",46,0,0
"439","BRBE135_15","2",25,0,0
"440","BRBE137_15","2",26,0,0
"441","BRBE137_16","2",27,1,3.7037037037037
"442","BRBE137_17","2",24,0,0
"443","BRBE138_15","2",37,3,8.10810810810811
"444","BRBE138_17","2",51,1,1.96078431372549
"445","BRBE139_15","2",31,0,0
"446","BRBE139_16","2",46,10,21.7391304347826
"447","BRBE139_17","2",51,2,3.92156862745098
"448","BRBE140_15","2",55,3,5.45454545454545
"449","BRBE141_15","2",51,0,0
"450","BRBE141_16","2",51,13,25.4901960784314
"451","BRBE141_17","2",46,13,28.2608695652174
"452","BRBE141_18","2",54,0,0
"453","BRBE142_15","2",54,0,0
"454","BRBE142_17","2",54,24,44.4444444444444
"455","BRBE143_15","2",57,0,0
"456","BRBE143_16","2",53,25,47.1698113207547
"457","BRBE143_17","2",52,15,28.8461538461538
"458","BRBE144_15","2",50,1,2
"459","BRBE144_17","2",58,4,6.89655172413793
"460","BRBE145_15","2",50,0,0
"461","BRBE145_16","2",53,7,13.2075471698113
"462","BRBE145_17","2",73,1,1.36986301369863
"463","BRBE147_15","2",55,0,0
"464","BRBE148_15","2",38,2,5.26315789473684
"465","BRBE148_16","2",34,20,58.8235294117647
"466","BRBE149_15","2",43,5,11.6279069767442
"467","BRBE150_15","2",47,1,2.12765957446809
"468","BRBE150_16","2",52,28,53.8461538461538
"469","BRBE151_15","2",53,2,3.77358490566038
"470","BRBE152_15","2",56,0,0
"471","BRBE152_16","2",53,1,1.88679245283019
"472","BRBE153_15","2",45,4,8.88888888888889
"473","BRBE153_17","2",31,5,16.1290322580645
"474","BRBE154_15","2",48,0,0
"475","BRBE154_16","2",48,11,22.9166666666667
"476","BRBE154_17","2",49,11,22.4489795918367
"477","BRBE155_15","2",67,0,0
"478","BRBE155_17","2",57,0,0
"479","BRBE156_15","2",54,0,0
"480","BRBE156_17","2",47,9,19.1489361702128
"481","BRBE157_15","2",38,1,2.63157894736842
"482","BRBE157_16","2",40,24,60
"483","BRBE157_17","2",34,17,50
"484","BRBE159_15","2",45,0,0
"485","BRBE159_16","2",42,7,16.6666666666667
"486","BRBE159_17","2",38,12,31.5789473684211
"487","BRBE159_18","2",41,0,0
"488","BRBE160_15","2",36,3,8.33333333333333
"489","BRBE160_16","2",53,3,5.66037735849057
"490","BRBE160_17","2",37,8,21.6216216216216
"491","BRBE161_15","2",52,1,1.92307692307692
"492","BRBE161_16","2",57,26,45.6140350877193
"493","BRBE162_15","2",40,2,5
"494","BRBE163_15","2",31,0,0
"495","BRBE163_16","2",42,16,38.0952380952381
"496","BRBE164_15","2",41,9,21.9512195121951
"497","BRBE164_16","2",38,9,23.6842105263158
"498","BRBE164_18","2",45,0,0
"499","BRBE165_15","2",50,1,2
"500","BRBE165_16","2",40,4,10
"501","BRBE165_18","2",49,0,0
"502","BRBE167_15","2",50,1,2
"503","BRBE168_15","2",52,0,0
"504","BRBE168_16","2",50,22,44
"505","BRBE169_15","2",59,0,0
"506","BRBE173_15","2",52,1,1.92307692307692
"507","BRBE173_16","2",42,1,2.38095238095238
"508","BRBE173_17","2",43,4,9.30232558139535
"509","BRBE174_15","2",47,2,4.25531914893617
"510","BRBE174_16","2",52,18,34.6153846153846
"511","BRBE174_17","2",49,17,34.6938775510204
"512","BRBE174_18","2",53,0,0
"513","BRBE175_15","2",45,0,0
"514","BRBE175_16","2",45,23,51.1111111111111
"515","BRBE175_17","2",54,12,22.2222222222222
"516","BRBE175_18","2",59,34,57.6271186440678
"517","BRBE176_15","2",47,0,0
"518","BRBE176_16","2",52,2,3.84615384615385
"519","BRBE176_17","2",58,0,0
"520","BRBE176_18","2",58,29,50
"521","BRBE177_15","2",45,4,8.88888888888889
"522","BRBE178_15","2",56,0,0
"523","BRBE178_16","2",52,20,38.4615384615385
"524","BRBE178_17","2",50,7,14
"525","BRBE178_18","2",59,16,27.1186440677966
"526","BRBE179_15","2",41,2,4.8780487804878
"527","BRBE179_16","2",29,21,72.4137931034483
"528","BRBE179_17","2",43,5,11.6279069767442
"529","BRBE179_18","2",39,23,58.974358974359
"530","BRBE180_15","2",58,0,0
"531","BRBE180_16","2",56,24,42.8571428571429
"532","BRBE180_17","2",58,3,5.17241379310345
"533","BRBE180_18","2",58,25,43.1034482758621
"534","BRBE181_15","2",45,1,2.22222222222222
"535","BRBE181_16","2",51,26,50.9803921568627
"536","BRBE181_17","2",58,3,5.17241379310345
"537","BRBE181_18","2",58,45,77.5862068965517
"538","BRBE182_15","2",40,1,2.5
"539","BRBE182_16","2",63,7,11.1111111111111
"540","BRBE182_17","2",63,0,0
"541","BRBE182_18","2",64,33,51.5625
"542","BRBE183_15","2",50,0,0
"543","BRBE183_16","2",56,47,83.9285714285714
"544","BRBE183_17","2",56,1,1.78571428571429
"545","BRBE183_18","2",58,29,50
"546","BRBE184_15","2",54,3,5.55555555555556
"547","BRBE184_16","2",52,2,3.84615384615385
"548","BRBE184_17","2",57,1,1.75438596491228
